,Topic,Probability,created_at,date,week_start
1153,Topic 0,0,Mon Dec 28 13:13:55 +0000 2020,12/28/20,12/27/20
1154,Topic 0,0,Mon Dec 28 12:53:24 +0000 2020,12/28/20,12/27/20
1155,Topic 0,0,Mon Dec 28 12:19:46 +0000 2020,12/28/20,12/27/20
1156,Topic 0,0,Mon Dec 28 12:15:06 +0000 2020,12/28/20,12/27/20
1157,Topic 0,0,Mon Dec 28 05:08:49 +0000 2020,12/28/20,12/27/20
1158,Topic 0,0,Mon Dec 28 17:07:00 +0000 2020,12/28/20,12/27/20
1159,Topic 0,0,Mon Dec 28 04:52:10 +0000 2020,12/28/20,12/27/20
1160,Topic 0,0,Mon Dec 28 03:54:24 +0000 2020,12/28/20,12/27/20
1161,Topic 0,0,Mon Dec 28 03:44:07 +0000 2020,12/28/20,12/27/20
1162,Topic 0,0,Mon Dec 28 02:33:00 +0000 2020,12/28/20,12/27/20
1163,Topic 0,0,Mon Dec 28 01:45:35 +0000 2020,12/28/20,12/27/20
1164,Topic 0,0,Mon Dec 28 01:15:52 +0000 2020,12/28/20,12/27/20
1165,Topic 0,0,Mon Dec 28 19:56:23 +0000 2020,12/28/20,12/27/20
1166,Topic 0,0,Mon Dec 28 19:48:52 +0000 2020,12/28/20,12/27/20
1167,Topic 0,0,Mon Dec 28 19:42:50 +0000 2020,12/28/20,12/27/20
1168,Topic 0,0,Mon Dec 28 18:45:34 +0000 2020,12/28/20,12/27/20
1169,Topic 0,0,Mon Dec 28 18:37:58 +0000 2020,12/28/20,12/27/20
1170,Topic 0,0,Wed Dec 30 05:20:54 +0000 2020,12/30/20,12/27/20
1171,Topic 0,0,Wed Dec 30 03:28:21 +0000 2020,12/30/20,12/27/20
1172,Topic 0,0,Wed Jan 06 10:54:03 +0000 2021,1/6/21,1/3/21
1173,Topic 0,0,Thu Dec 31 05:44:07 +0000 2020,12/31/20,12/27/20
1174,Topic 0,0,Thu Dec 31 16:36:05 +0000 2020,12/31/20,12/27/20
1175,Topic 0,0,Thu Dec 31 15:39:21 +0000 2020,12/31/20,12/27/20
1176,Topic 0,0,Thu Dec 31 15:34:59 +0000 2020,12/31/20,12/27/20
